genres;id;;;;;;;;
Action;19995;;;;;;;;
Adventure;19995;;;;;;;;
Fantasy;19995;;;;;;;;
Science Fiction;19995;;;;;;;;
Adventure;285;;;;;;;;
Fantasy;285;;;;;;;;
Action;285;;;;;;;;
Action;206647;;;;;;;;
Adventure;206647;;;;;;;;
Crime;206647;;;;;;;;
Action;49026;;;;;;;;
Crime;49026;;;;;;;;
Drama;49026;;;;;;;;
Thriller;49026;;;;;;;;
Action;49529;;;;;;;;
Adventure;49529;;;;;;;;
Science Fiction;49529;;;;;;;;
Fantasy;559;;;;;;;;
Action;559;;;;;;;;
Adventure;559;;;;;;;;
Animation;38757;;;;;;;;
Family;38757;;;;;;;;
Action;99861;;;;;;;;
Adventure;99861;;;;;;;;
Science Fiction;99861;;;;;;;;
Adventure;767;;;;;;;;
Fantasy;767;;;;;;;;
Family;767;;;;;;;;
Action;209112;;;;;;;;
Adventure;209112;;;;;;;;
Fantasy;209112;;;;;;;;
Adventure;1452;;;;;;;;
Fantasy;1452;;;;;;;;
Action;1452;;;;;;;;
Science Fiction;1452;;;;;;;;
Adventure;10764;;;;;;;;
Action;10764;;;;;;;;
Thriller;10764;;;;;;;;
Crime;10764;;;;;;;;
Adventure;58;;;;;;;;
Fantasy;58;;;;;;;;
Action;58;;;;;;;;
Action;57201;;;;;;;;
Adventure;57201;;;;;;;;
Western;57201;;;;;;;;
Action;49521;;;;;;;;
Adventure;49521;;;;;;;;
Fantasy;49521;;;;;;;;
Science Fiction;49521;;;;;;;;
Adventure;2454;;;;;;;;
Family;2454;;;;;;;;
Fantasy;2454;;;;;;;;
Science Fiction;24428;;;;;;;;
Action;24428;;;;;;;;
Adventure;24428;;;;;;;;
Adventure;1865;;;;;;;;
Action;1865;;;;;;;;
Fantasy;1865;;;;;;;;
Action;41154;;;;;;;;
Comedy;41154;;;;;;;;
Science Fiction;41154;;;;;;;;
Action;122917;;;;;;;;
Adventure;122917;;;;;;;;
Fantasy;122917;;;;;;;;
Action;1930;;;;;;;;
Adventure;1930;;;;;;;;
Fantasy;1930;;;;;;;;
Action;20662;;;;;;;;
Adventure;20662;;;;;;;;
Adventure;57158;;;;;;;;
Fantasy;57158;;;;;;;;
Adventure;2268;;;;;;;;
Fantasy;2268;;;;;;;;
Adventure;254;;;;;;;;
Drama;254;;;;;;;;
Action;254;;;;;;;;
Drama;597;;;;;;;;
Romance;597;;;;;;;;
Thriller;597;;;;;;;;
Adventure;271110;;;;;;;;
Action;271110;;;;;;;;
Science Fiction;271110;;;;;;;;
Thriller;44833;;;;;;;;
Action;44833;;;;;;;;
Adventure;44833;;;;;;;;
Science Fiction;44833;;;;;;;;
Action;135397;;;;;;;;
Adventure;135397;;;;;;;;
Science Fiction;135397;;;;;;;;
Thriller;135397;;;;;;;;
Action;37724;;;;;;;;
Adventure;37724;;;;;;;;
Thriller;37724;;;;;;;;
Action;558;;;;;;;;
Adventure;558;;;;;;;;
Fantasy;558;;;;;;;;
Action;68721;;;;;;;;
Adventure;68721;;;;;;;;
Science Fiction;68721;;;;;;;;
Family;12155;;;;;;;;
Fantasy;12155;;;;;;;;
Adventure;12155;;;;;;;;
Adventure;36668;;;;;;;;
Action;36668;;;;;;;;
Science Fiction;36668;;;;;;;;
Thriller;36668;;;;;;;;
Animation;62211;;;;;;;;
Family;62211;;;;;;;;
Science Fiction;8373;;;;;;;;
Action;8373;;;;;;;;
Adventure;8373;;;;;;;;
Science Fiction;91314;;;;;;;;
Action;91314;;;;;;;;
Adventure;91314;;;;;;;;
Fantasy;68728;;;;;;;;
Adventure;68728;;;;;;;;
Family;68728;;;;;;;;
Action;102382;;;;;;;;
Adventure;102382;;;;;;;;
Fantasy;102382;;;;;;;;
Adventure;20526;;;;;;;;
Action;20526;;;;;;;;
Science Fiction;20526;;;;;;;;
Animation;49013;;;;;;;;
Family;49013;;;;;;;;
Adventure;49013;;;;;;;;
Comedy;49013;;;;;;;;
Adventure;44912;;;;;;;;
Action;44912;;;;;;;;
Thriller;44912;;;;;;;;
Science Fiction;44912;;;;;;;;
Animation;10193;;;;;;;;
