budget;id;original_language;popularity;release_date;revenue;runtime;spoken_languages;tagline;title_x;vote_average;vote_count;movie_id;title_y;;;;;;;;
237000000;19995;en;150.437577;2009-12-10;2787965087;162.0;['English', 'Español'];Enter the World of Pandora.;Avatar;7.2;11800;19995;Avatar;;;;;;;;
300000000;285;en;139.082615;2007-05-19;961000000;169.0;['English'];At the end of the world, the adventure begins.;Pirates of the Caribbean: At World's End;6.9;4500;285;Pirates of the Caribbean: At World's End;;;;;;;;
245000000;206647;en;107.376788;2015-10-26;880674609;148.0;['Français', 'English', 'Español', 'Italiano', 'Deutsch'];A Plan No One Escapes;Spectre;6.3;4466;206647;Spectre;;;;;;;;
250000000;49026;en;112.31295;2012-07-16;1084939099;165.0;['English'];The Legend Ends;The Dark Knight Rises;7.6;9106;49026;The Dark Knight Rises;;;;;;;;
260000000;49529;en;43.926995;2012-03-07;284139100;132.0;['English'];Lost in our world, found in another.;John Carter;6.1;2124;49529;John Carter;;;;;;;;
258000000;559;en;115.699814;2007-05-01;890871626;139.0;['English', 'Français'];The battle within.;Spider-Man 3;5.9;3576;559;Spider-Man 3;;;;;;;;
260000000;38757;en;48.681969;2010-11-24;591794936;100.0;['English'];They're taking adventure to new lengths.;Tangled;7.4;3330;38757;Tangled;;;;;;;;
280000000;99861;en;134.279229;2015-04-22;1405403694;141.0;['English'];A New Age Has Come.;Avengers: Age of Ultron;7.3;6767;99861;Avengers: Age of Ultron;;;;;;;;
250000000;767;en;98.885637;2009-07-07;933959197;153.0;['English'];Dark Secrets Revealed;Harry Potter and the Half-Blood Prince;7.4;5293;767;Harry Potter and the Half-Blood Prince;;;;;;;;
250000000;209112;en;155.790452;2016-03-23;873260194;151.0;['English'];Justice or revenge;Batman v Superman: Dawn of Justice;5.7;7004;209112;Batman v Superman: Dawn of Justice;;;;;;;;
270000000;1452;en;57.925623;2006-06-28;391081192;154.0;['English', 'Français', 'Deutsch'];;Superman Returns;5.4;1400;1452;Superman Returns;;;;;;;;
200000000;10764;en;107.928811;2008-10-30;586090727;106.0;['English', 'Español', 'Italiano', 'Français', 'Deutsch'];For love, for hate, for justice, for revenge.;Quantum of Solace;6.1;2965;10764;Quantum of Solace;;;;;;;;
200000000;58;en;145.847379;2006-06-20;1065659812;151.0;['English', 'Türkçe', 'ελληνικά', '普通话'];Jack is back!;Pirates of the Caribbean: Dead Man's Chest;7.0;5246;58;Pirates of the Caribbean: Dead Man's Chest;;;;;;;;
255000000;57201;en;49.046956;2013-07-03;89289910;149.0;['English'];Never Take Off the Mask;The Lone Ranger;5.9;2311;57201;The Lone Ranger;;;;;;;;
225000000;49521;en;99.398009;2013-06-12;662845518;143.0;['English'];You will believe that a man can fly.;Man of Steel;6.5;6359;49521;Man of Steel;;;;;;;;
225000000;2454;en;53.978602;2008-05-15;419651413;150.0;['English'];Hope has a new face.;The Chronicles of Narnia: Prince Caspian;6.3;1630;2454;The Chronicles of Narnia: Prince Caspian;;;;;;;;
220000000;24428;en;144.448633;2012-04-25;1519557910;143.0;['English'];Some assembly required.;The Avengers;7.4;11776;24428;The Avengers;;;;;;;;
380000000;1865;en;135.413856;2011-05-14;1045713802;136.0;['English', 'Español'];Live Forever Or Die Trying.;Pirates of the Caribbean: On Stranger Tides;6.4;4948;1865;Pirates of the Caribbean: On Stranger Tides;;;;;;;;
225000000;41154;en;52.035179;2012-05-23;624026776;106.0;['English'];They are back... in time.;Men in Black 3;6.2;4160;41154;Men in Black 3;;;;;;;;
250000000;122917;en;120.965743;2014-12-10;956019788;144.0;['English'];Witness the defining chapter of the Middle-Earth saga;The Hobbit: The Battle of the Five Armies;7.1;4760;122917;The Hobbit: The Battle of the Five Armies;;;;;;;;
215000000;1930;en;89.866276;2012-06-27;752215857;136.0;['English'];The untold story begins.;The Amazing Spider-Man;6.5;6586;1930;The Amazing Spider-Man;;;;;;;;
200000000;20662;en;;;;;;;;;;;;;;;;;;;
250000000;57158;en;94.370564;2013-12-11;958400000;161.0;['English'];Beyond darkness... beyond desolation... lies the greatest danger of all.;The Hobbit: The Desolation of Smaug;7.6;4524;57158;The Hobbit: The Desolation of Smaug;;;;;;;;
180000000;2268;en;42.990906;2007-12-04;372234864;113.0;['Íslenska', 'English', 'Pусский', 'Français'];There are worlds beyond our own - the compass will show the way.;The Golden Compass;5.8;1303;2268;The Golden Compass;;;;;;;;
207000000;254;en;61.22601;2005-12-14;550000000;187.0;['English'];The eighth wonder of the world.;King Kong;6.6;2337;254;King Kong;;;;;;;;
200000000;597;en;100.025899;1997-11-18;1845034188;194.0;['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский'];Nothing on Earth could come between them.;Titanic;7.5;7562;597;Titanic;;;;;;;;
